,comment_text
108057,"""I don't think that a Landmate is a mecha as from  what I understand mechas are """"ridden"""" where as a Landmate is """"worn"""". It would be more accurate to describe it as a powered exoskeleton.  BeeCier"""
65596,""" 
 **(from  Dear Leif, this is user Classicjupiter2, about your last comment to me on my talk page was not really cool at all. Please try to be more civil and nice and I would appreciate if you would stop with your accusations and attack. I really do not like to repeat myself, but I am not the IP's, person or persons, or whatever and whoever that you are accusing me of and I ask if you would please talk to me first before you make accusations and badmouth me to other users and an administrator. Please talk to me first before you jump to any, """"conclusions"""" and please make clear to me your reasons to why you are making these allegations, why are you making these allegations? I would like a straight answer. I am not on any, """"revenge"""" VfD binge of all surrealism articles, I even made an addition, but do you care? Why are you so upset over me making VfD nominations? Are you a member of the Cantabria Surrealist Group? Is that it?  
 ***When did you start editing wikipedia? Are you actually saying that you didn't edit before March 1st 2005 (when 24.168.67.238 first edited)?  """
78909,":This issue has been dealt with. But, suffice it to say, the interest of wikipedia is to present the truth (the theory being that enough contributors can arrive at the truth through consensus). If something is objectively true, and yet is disputed (for example, the existence of the Holocaust), then it is not the job of wikipedia to pretend that there is some conflict as to the realities of history. When there was a dispute about a factual matter, and that dispute has been resolved (as is the case here), there is no need whatsoever to pretend that the matters that were the subject of the dispute are still in controversy.  Here we have the latter case: Nobody today contends that Chassidim are lax on halacha, etc. And, indeed, nobody contends today that Chassidim were lax in halacha at any time in history.  Quite the opposite, in fact. Those attacks have been universally recognized as false.  To pretend, for the sake of NPOV, that the untruth of the aforementioned attacks is in question is foolish."
52974,"::::::: You suggest the standardards are not different but you have no reliable infor that the sources from before still apply to the ISO/IEC standard. You also refuse to put any of those so called reliable sources before me so that we can together decide whether those sources actually claim that Office Open XML is not a free and ope nstandard or whether or not the claims in it still apply to the current ISO/IEC standard. Cliam in the past were well known to rely on statements that the format was only implemented by Micrsoft (which is of course long in the past), that Microsoft controlled the format (currently both the ownership and maintenance of ISO/IEC 29500 Office open XML are within ISO/IEC JTC1) or that the standard referred to not fully defined item (for which informatio nwas added during the ISO standardization proces). So we can in fact easily see if any old claims still apply but the refused to bring forth those arguments and see if they apply to the ISO/IEC standard is shocking. You claim consensus on a viewpoint that you then refuse to support with actual claims/arguments. I claim that it is enough for an ISO/IEC standard to be publicy availalbe free or charge and royalties to be called a free and open standard. That alone complies with the definitions given on the relevant wikipedia articles. Unless you put forward real arguments (and not some consensus on imaginary non-existing arguments) that these definitions are not met by the ISO/IEC 29500 standard I will readd the claim to the article."
10695,"TURN OFF YOUR CAPSLOCK == 
 PLEASE TURN OFF YOUR CAPSLOCK WHEN EDITTING WIKIPEDIA.  TYPING IN ALL CAPS IS LIKE SCREAMING ON THE INTERNET AND IT IS CONSIDERED EXTREMELY RUDE.    

 == Also, pay fucking attention!  
 The article Hail Satan (book) is going to be deleted because it does not have any reliable sources (say, magazines or newspapers that Wikipedia has articles about) that demonstrate notability.  You have not addressed that at all.  Screaming and bitching and moaning with bullshit accusations of censorship and persecution are going to get you nowhere, so just quit it, it is only disruptive and it will not help the article at all.  I have given you the key to keeping the article from being deleted, don't you dare go on about bias one more bit."
94282,"I will never ever ever ever ever ever donate to wikipedia. Should i ever be so dumb as to donate, I will refrain one day for every instance i saw that stupid ad."
10987,"Fuck you, starship9000, and the Seattle Shecox."
112505,""" 
 ::::Why DYK be rejected? Come on man, not fair.  """
98502,"Hi Pdfpdf, I've expanded the John Whitelaw (general) article using the Australian Dictionary of Biography Online article and some of the refs you had for the 1894-1964 Whitelaw. I hope you don't mind. I found an image on the AWM site and uploaded that too (on Commons). Please take a look at the article and let me know what you think. Also, I'm happy to help if I can, if/when you want to create the entry for the 1921-2010 Whitelaw. Have a good one."
62150,hard soft squishy tits
68017,"== The real reason detainees should be left in Gitmo == 

 About 30 detainees left in Gitmo are the cause of 9/11 and leaders of various mischievous acts. These leaders are so dangerus that nobody on Earth will take them and when Congress realizes that they are to be released in a neighborhood near you? Well, it's a crazy situation. Teh anti-Gitmo can say bullshit all day long, but it ends up whose going to take these gifted (extremely talented/not dumb) evil-doers to America. If congress terrorists them in America, and a skyscraper falls or chemical bombs enter a stadium of some kind. It's bad enough that they sneak in with the illegal immigrates? Don't we have like 40 million illegals in USA already complete with 12 sanctuary cities that alienate the ICE Police. The Democrats want them to kill Americans....more gloom and doom to speak of....democrats love that kind of stuff.  The same party that complains about energy expenses, but won't build nuclear power plants like the Chinese do? And the Chinese are left on the political scale too! 1.7 billion people cost big time power resources....whoops I did it again."
134040,Cool. This can probably be expanded to more than a single sentence about doors because his exposition on idiotic door designs is fairly widely cited. ~
8749,and by the way you all stink!!
20065,""" 

 :Who says I'm doing it for points? I'm doing it because I'm trying to straighten everything up, plus I'm bored and I hardly ever make anything as minor. I don't see what the big deal is. The MoS says I shouldn't. So that would be breaking a rule. I'll think about it. """
89664,", and positions its header,"
65780,""" 

 == Conservapedia == 

 Conservapedia can sometimes be a valuable resource, but overall I agree with your assessment that it represents a particular narrow range of viewpoints rather than mainstream American conservatism.  I also suspect you're right that nearly no serious intellectuals do business there.  When Conservapedia first launched, I predicted they would close down within 6 months.  They're still around, to my dismay, and their continued existence helps feed the increasingly widespread belief not that Wikipedia is too liberal but that conservatives cannot win fair arguments and must therefore depend on a heavily restricted and censored medium to survive.    / """
91339,"*Yes my friend, i understand perfectly, VITÓRIA DE SETÚBAL is nicer to the view, indeed. I just think it should not be done in INFOBOX, because it gets too big, just that, only in storyline. And i just saw this now, in Tarik Sektioui, which i think is wrong too: WP guidelines say birthplace should be removed from birthdate, but not completely as you done (totally removing it from story), it should be placed elsewhere. 

 Tell me your views please, i will try to argue with your inputs...Later! VASCO -"
77890,"Thank you for experimenting with the page Hurricane Mitch on Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia."
61743,FUCK YOU YOU LITTLE PEICE OF FUCKING SHIT!!!
121541,"== Game Formats not clear == 

 Article needs a better infobox, or clearer discussion of formats. It is not at all easy to see which formats the games have been released on."
126278,::Here is another source: Melissa Sue Halverson (2007) Native American Beliefs and Medical Treatments During the Smallpox Epidemics: an Evolution. This might help.
105515,""":::(ec) @Masem, Thanks for concisely writing it out. I believe this is where our core disagreement is. You state that """"That makes Serebii.net's claims unreliable, and anyone sourcing Serebii as an unreliable single source"""". Can you back up this second part of your claim with any Wikipedia policy? I have read WP:V, but I am not seeing it there, unless I missed it. All I have read makes me believe that the information can still be added to the article, because that GameSpot article is reliable due to the normal means (editorial oversight, etc.) ''''''['''''']  
 """
